Entity,Code,Year,Forest area
Brazil,BRA,1990,588898000
Brazil,BRA,1991,585117060
Brazil,BRA,1992,581336120
Brazil,BRA,1993,577555180
Brazil,BRA,1994,573774240
Brazil,BRA,1995,569993300
Brazil,BRA,1996,566212360
Brazil,BRA,1997,562431420
Brazil,BRA,1998,558650480
Brazil,BRA,1999,554869540
Brazil,BRA,2000,551088600
Brazil,BRA,2001,547137810
Brazil,BRA,2002,543187020
Brazil,BRA,2003,539236230
Brazil,BRA,2004,535285440
Brazil,BRA,2005,531334650
Brazil,BRA,2006,527383860
Brazil,BRA,2007,523433070
Brazil,BRA,2008,519482280
Brazil,BRA,2009,515531490
Brazil,BRA,2010,511580700
Brazil,BRA,2011,510041520
Brazil,BRA,2012,508502340
Brazil,BRA,2013,506963160
Brazil,BRA,2014,505423980
Brazil,BRA,2015,503884800
Brazil,BRA,2016,502431760
Brazil,BRA,2017,500978720
Brazil,BRA,2018,499525680
Brazil,BRA,2019,498072640
Brazil,BRA,2020,496619600
Falkland Islands,FLK,1990,0
Falkland Islands,FLK,1991,0
Falkland Islands,FLK,1992,0
Falkland Islands,FLK,1993,0
Falkland Islands,FLK,1994,0
Falkland Islands,FLK,1995,0
Falkland Islands,FLK,1996,0
Falkland Islands,FLK,1997,0
Falkland Islands,FLK,1998,0
Falkland Islands,FLK,1999,0
Falkland Islands,FLK,2000,0
Falkland Islands,FLK,2001,0
Falkland Islands,FLK,2002,0
Falkland Islands,FLK,2003,0
Falkland Islands,FLK,2004,0
Falkland Islands,FLK,2005,0
Falkland Islands,FLK,2006,0
Falkland Islands,FLK,2007,0
Falkland Islands,FLK,2008,0
Falkland Islands,FLK,2009,0
Falkland Islands,FLK,2010,0
Falkland Islands,FLK,2011,0
Falkland Islands,FLK,2012,0
Falkland Islands,FLK,2013,0
Falkland Islands,FLK,2014,0
Falkland Islands,FLK,2015,0
Falkland Islands,FLK,2016,0
Falkland Islands,FLK,2017,0
Falkland Islands,FLK,2018,0
Falkland Islands,FLK,2019,0
Falkland Islands,FLK,2020,0
Argentina,ARG,1990,35204000
Argentina,ARG,1991,35021400
Argentina,ARG,1992,34838800
Argentina,ARG,1993,34656200
Argentina,ARG,1994,34473600
Argentina,ARG,1995,34291000
Argentina,ARG,1996,34108400
Argentina,ARG,1997,33925800
Argentina,ARG,1998,33743200
Argentina,ARG,1999,33560600
Argentina,ARG,2000,33378000
Argentina,ARG,2001,33061600
Argentina,ARG,2002,32745200
Argentina,ARG,2003,32428800
Argentina,ARG,2004,32112400
Argentina,ARG,2005,31796000
Argentina,ARG,2006,31479600
Argentina,ARG,2007,31163200
Argentina,ARG,2008,30846800
Argentina,ARG,2009,30530400
Argentina,ARG,2010,30214000
Argentina,ARG,2011,29990600
Argentina,ARG,2012,29767200
Argentina,ARG,2013,29543800
Argentina,ARG,2014,29320400
Argentina,ARG,2015,29097000
Argentina,ARG,2016,28992200
Argentina,ARG,2017,28887400
Argentina,ARG,2018,28782600
Argentina,ARG,2019,28677800
Argentina,ARG,2020,28573000
Chile,CHL,1990,15246050
Chile,CHL,1991,15303151.000000002
Chile,CHL,1992,15360252
Chile,CHL,1993,15417353.000000002
Chile,CHL,1994,15474454
Chile,CHL,1995,15531555
Chile,CHL,1996,15588656
Chile,CHL,1997,15645757
Chile,CHL,1998,15702858
Chile,CHL,1999,15759958.999999998
Chile,CHL,2000,15817060
Chile,CHL,2001,15907880
Chile,CHL,2002,15998700
Chile,CHL,2003,16089520
Chile,CHL,2004,16180340
Chile,CHL,2005,16271160
Chile,CHL,2006,16361980
Chile,CHL,2007,16452800
Chile,CHL,2008,16543619.999999998
Chile,CHL,2009,16634439.999999998
Chile,CHL,2010,16725259.999999998
Chile,CHL,2011,16899424
Chile,CHL,2012,17073588
Chile,CHL,2013,17247752
Chile,CHL,2014,17421916
Chile,CHL,2015,17596080
Chile,CHL,2016,17719004
Chile,CHL,2017,17841928
Chile,CHL,2018,17964852
Chile,CHL,2019,18087776
Chile,CHL,2020,18210700
Uruguay,URY,1990,798000
Uruguay,URY,1991,855100
Uruguay,URY,1992,912200
Uruguay,URY,1993,969300
Uruguay,URY,1994,1026400.0000000001
Uruguay,URY,1995,1083500
Uruguay,URY,1996,1140600
Uruguay,URY,1997,1197700
Uruguay,URY,1998,1254800
Uruguay,URY,1999,1311900
Uruguay,URY,2000,1369000
Uruguay,URY,2001,1405230
Uruguay,URY,2002,1441460
Uruguay,URY,2003,1477690
Uruguay,URY,2004,1513920
Uruguay,URY,2005,1550150
Uruguay,URY,2006,1586380
Uruguay,URY,2007,1622610
Uruguay,URY,2008,1658840
Uruguay,URY,2009,1695070
Uruguay,URY,2010,1731300
Uruguay,URY,2011,1769040
Uruguay,URY,2012,1806780
Uruguay,URY,2013,1844520
Uruguay,URY,2014,1882260
Uruguay,URY,2015,1920000
Uruguay,URY,2016,1942200
Uruguay,URY,2017,1964400
Uruguay,URY,2018,1986600
Uruguay,URY,2019,2008800
Uruguay,URY,2020,2031000
Paraguay,PRY,1990,25545860
Paraguay,PRY,1991,25290439
Paraguay,PRY,1992,25035017.999999996
Paraguay,PRY,1993,24779597
Paraguay,PRY,1994,24524176
Paraguay,PRY,1995,24268755
Paraguay,PRY,1996,24013334
Paraguay,PRY,1997,23757912.999999996
Paraguay,PRY,1998,23502492.000000004
Paraguay,PRY,1999,23247071
Paraguay,PRY,2000,22991650
Paraguay,PRY,2001,22649506
Paraguay,PRY,2002,22307362
Paraguay,PRY,2003,21965217.999999996
Paraguay,PRY,2004,21623074
Paraguay,PRY,2005,21280930
Paraguay,PRY,2006,20938786
Paraguay,PRY,2007,20596642
Paraguay,PRY,2008,20254498
Paraguay,PRY,2009,19912354
Paraguay,PRY,2010,19570210
Paraguay,PRY,2011,19155956.000000004
Paraguay,PRY,2012,18741702
Paraguay,PRY,2013,18327448
Paraguay,PRY,2014,17913194
Paraguay,PRY,2015,17498940
Paraguay,PRY,2016,17219604
Paraguay,PRY,2017,16940268
Paraguay,PRY,2018,16660932
Paraguay,PRY,2019,16381596.000000002
Paraguay,PRY,2020,16102260
Bolivia,BOL,1990,57804720
Bolivia,BOL,1991,57534387
Bolivia,BOL,1992,57264054
Bolivia,BOL,1993,56993721
Bolivia,BOL,1994,56723388
Bolivia,BOL,1995,56453055
Bolivia,BOL,1996,56182722
Bolivia,BOL,1997,55912389
Bolivia,BOL,1998,55642056
Bolivia,BOL,1999,55371723
Bolivia,BOL,2000,55101390
Bolivia,BOL,2001,54899852
Bolivia,BOL,2002,54698314.00000001
Bolivia,BOL,2003,54496776
Bolivia,BOL,2004,54295238
Bolivia,BOL,2005,54093700
Bolivia,BOL,2006,53892162.00000001
Bolivia,BOL,2007,53690624
Bolivia,BOL,2008,53489085.99999999
Bolivia,BOL,2009,53287547.99999999
Bolivia,BOL,2010,53086010
Bolivia,BOL,2011,52874252
Bolivia,BOL,2012,52662494.00000001
Bolivia,BOL,2013,52450736
Bolivia,BOL,2014,52238977.99999999
Bolivia,BOL,2015,52027220
Bolivia,BOL,2016,51788528
Bolivia,BOL,2017,51549835.99999999
Bolivia,BOL,2018,51311144
Bolivia,BOL,2019,51072452.00000001
Bolivia,BOL,2020,50833760
Peru,PER,1990,76448540
Peru,PER,1991,76333469
Peru,PER,1992,76218398
Peru,PER,1993,76103327
Peru,PER,1994,75988256
Peru,PER,1995,75873185
Peru,PER,1996,75758114
Peru,PER,1997,75643043
Peru,PER,1998,75527972.00000001
Peru,PER,1999,75412901
Peru,PER,2000,75297830
Peru,PER,2001,75173027
Peru,PER,2002,75048224
Peru,PER,2003,74923421
Peru,PER,2004,74798618
Peru,PER,2005,74673815
Peru,PER,2006,74549012
Peru,PER,2007,74424209
Peru,PER,2008,74299406
Peru,PER,2009,74174603
Peru,PER,2010,74049800
Peru,PER,2011,73878746
Peru,PER,2012,73707692
Peru,PER,2013,73536637.99999999
Peru,PER,2014,73365584
Peru,PER,2015,73194530
Peru,PER,2016,73021698
Peru,PER,2017,72848866
Peru,PER,2018,72676034
Peru,PER,2019,72503202
Peru,PER,2020,72330370
Ecuador,ECU,1990,14632210
Ecuador,ECU,1991,14542038.999999998
Ecuador,ECU,1992,14451868
Ecuador,ECU,1993,14361697
Ecuador,ECU,1994,14271526.000000002
Ecuador,ECU,1995,14181355
Ecuador,ECU,1996,14091184
Ecuador,ECU,1997,14001013
Ecuador,ECU,1998,13910841.999999998
Ecuador,ECU,1999,13820671
Ecuador,ECU,2000,13730500
Ecuador,ECU,2001,13660268.999999998
Ecuador,ECU,2002,13590038
Ecuador,ECU,2003,13519806.999999998
Ecuador,ECU,2004,13449576
Ecuador,ECU,2005,13379345
Ecuador,ECU,2006,13309114
Ecuador,ECU,2007,13238883
Ecuador,ECU,2008,13168652
Ecuador,ECU,2009,13098421
Ecuador,ECU,2010,13028190
Ecuador,ECU,2011,12986388
Ecuador,ECU,2012,12944586.000000002
Ecuador,ECU,2013,12902784
Ecuador,ECU,2014,12860982
Ecuador,ECU,2015,12819180
Ecuador,ECU,2016,12754910
Ecuador,ECU,2017,12690640
Ecuador,ECU,2018,12626370
Ecuador,ECU,2019,12562100
Ecuador,ECU,2020,12497830
Colombia,COL,1990,64958140
Colombia,COL,1991,64735876
Colombia,COL,1992,64513612
Colombia,COL,1993,64291348
Colombia,COL,1994,64069084
Colombia,COL,1995,63846820
Colombia,COL,1996,63624556
Colombia,COL,1997,63402292
Colombia,COL,1998,63180028
Colombia,COL,1999,62957764
Colombia,COL,2000,62735500
Colombia,COL,2001,62542729.00000001
Colombia,COL,2002,62349958
Colombia,COL,2003,62157187.00000001
Colombia,COL,2004,61964416
Colombia,COL,2005,61771645
Colombia,COL,2006,61578874
Colombia,COL,2007,61386102.99999999
Colombia,COL,2008,61193332
Colombia,COL,2009,61000560.99999999
Colombia,COL,2010,60807790
Colombia,COL,2011,60673164.00000001
Colombia,COL,2012,60538538
Colombia,COL,2013,60403912.00000001
Colombia,COL,2014,60269285.99999999
Colombia,COL,2015,60134660
Colombia,COL,2016,59936110
Colombia,COL,2017,59737560
Colombia,COL,2018,59539010
Colombia,COL,2019,59340460
Colombia,COL,2020,59141910
Venezuela,VEN,1990,52026000
Venezuela,VEN,1991,51738500
Venezuela,VEN,1992,51451000
Venezuela,VEN,1993,51163500
Venezuela,VEN,1994,50876000
Venezuela,VEN,1995,50588500
Venezuela,VEN,1996,50301000
Venezuela,VEN,1997,50013500
Venezuela,VEN,1998,49726000
Venezuela,VEN,1999,49438500
Venezuela,VEN,2000,49151000
Venezuela,VEN,2001,48986400
Venezuela,VEN,2002,48821800
Venezuela,VEN,2003,48657200
Venezuela,VEN,2004,48492600
Venezuela,VEN,2005,48328000
Venezuela,VEN,2006,48163400
Venezuela,VEN,2007,47998800
Venezuela,VEN,2008,47834200
Venezuela,VEN,2009,47669600
Venezuela,VEN,2010,47505000
Venezuela,VEN,2011,47340600
Venezuela,VEN,2012,47176200
Venezuela,VEN,2013,47011800
Venezuela,VEN,2014,46847400
Venezuela,VEN,2015,46683000
Venezuela,VEN,2016,46592580
Venezuela,VEN,2017,46502160
Venezuela,VEN,2018,46411740
Venezuela,VEN,2019,46321320
Venezuela,VEN,2020,46230900
Guyana,GUY,1990,18602150
Guyana,GUY,1991,18598357
Guyana,GUY,1992,18594564
Guyana,GUY,1993,18590771
Guyana,GUY,1994,18586978
Guyana,GUY,1995,18583185
Guyana,GUY,1996,18579392
Guyana,GUY,1997,18575599
Guyana,GUY,1998,18571806
Guyana,GUY,1999,18568013
Guyana,GUY,2000,18564220
Guyana,GUY,2001,18559779
Guyana,GUY,2002,18555338
Guyana,GUY,2003,18550897
Guyana,GUY,2004,18546456.000000004
Guyana,GUY,2005,18542015
Guyana,GUY,2006,18537574
Guyana,GUY,2007,18533133
Guyana,GUY,2008,18528692
Guyana,GUY,2009,18524251
Guyana,GUY,2010,18519810
Guyana,GUY,2011,18508120
Guyana,GUY,2012,18496430
Guyana,GUY,2013,18484740
Guyana,GUY,2014,18473050
Guyana,GUY,2015,18461360
Guyana,GUY,2016,18452156.000000004
Guyana,GUY,2017,18442952
Guyana,GUY,2018,18433748
Guyana,GUY,2019,18424543.999999996
Guyana,GUY,2020,18415340
Suriname,SUR,1990,15377630
Suriname,SUR,1991,15373954
Suriname,SUR,1992,15370278
Suriname,SUR,1993,15366601.999999998
Suriname,SUR,1994,15362926.000000002
Suriname,SUR,1995,15359250
Suriname,SUR,1996,15355573.999999998
Suriname,SUR,1997,15351898.000000002
Suriname,SUR,1998,15348222
Suriname,SUR,1999,15344546
Suriname,SUR,2000,15340870
Suriname,SUR,2001,15336768.999999998
Suriname,SUR,2002,15332668
Suriname,SUR,2003,15328567
Suriname,SUR,2004,15324466
Suriname,SUR,2005,15320365
Suriname,SUR,2006,15316264
Suriname,SUR,2007,15312163
Suriname,SUR,2008,15308062
Suriname,SUR,2009,15303961.000000002
Suriname,SUR,2010,15299860
Suriname,SUR,2011,15290222
Suriname,SUR,2012,15280583.999999998
Suriname,SUR,2013,15270946.000000002
Suriname,SUR,2014,15261308
Suriname,SUR,2015,15251670
Suriname,SUR,2016,15240594
Suriname,SUR,2017,15229518
Suriname,SUR,2018,15218442
Suriname,SUR,2019,15207366.000000002
Suriname,SUR,2020,15196290
